SOC_TITLE,filings
Animal Scientists,93
Treasurers and Controllers,92
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",91
Emergency Medicine Physicians,91
"Designers, All Other",91
Healthcare Social Workers,90
Nanosystems Engineers,90
Mental Health and Substance Abuse Social Workers,88
"Recreation and Fitness Studies Teachers, Postsecondary",87
Petroleum Engineers,87
Bioinformatics Technicians,86
Fashion Designers,82
"Environmental Science Teachers, Postsecondary",80
Hydrologists,77
Agricultural Engineers,73
Aircraft Mechanics and Service Technicians,73
Film and Video Editors,72
"Dentists, All Other Specialists",72
"Teachers and Instructors, All Other",71
Political Scientists,69
Quality Control Analysts,69
"Social Scientists and Related Workers, All Other",68
"Child, Family, and School Social Workers",66
"Civil Engineers, R&D",64
"Sociology Teachers, Postsecondary",63
Document Management Specialists,63
"Education Administrators, Kindergarten through Secondary",62
"News Analysts, Reporters, and Journalists",62
Interpreters and Translators,60
Athletic Trainers,60
Training and Development Managers,59
Geographers,59
"Special Education Teachers, All Other",59
Geographic Information Systems Technologists and Technicians,58
Insurance Underwriters,57
Nuclear Engineers,56
"Managers, All Other",56
Web Administrators,55
"Computer Systems Analysts, Non R&D",55
Sociologists,55
"Law Teachers, Postsecondary",55
Video Game Designers,55
Self-Enrichment Teachers,54
Civil Engineering Technologists and Technicians,54
"Geography Teachers, Postsecondary",53
Remote Sensing Scientists and Technologists,53
Climate Change Policy Analysts,52
Nurse Practitioners,51
Fundraisers,50
Music Directors and Composers,49
"Bookkeeping, Accounting, and Auditing Clerks",49
"Life Scientists, All Other",49
Paramedics,49
"Orthopedic Surgeons, Except Pediatric",48
"Education and Childcare Administrators, Preschool and Daycare",48
Electrical and Electronic Engineering Technologists and Technicians,48
"Ophthalmologists, Except Pediatric",48
"Fraud Examiners, Investigators and Analysts",47
"Anthropology and Archeology Teachers, Postsecondary",47
"Legal Support Workers, All Other",47
Urologists,47
"Social Work Teachers, Postsecondary",47
Blockchain Engineers,46
Marriage and Family Therapists,46
Librarians and Media Collections Specialists,46
Physician Assistants,44
"Social Sciences Teachers, Postsecondary, All Other",44
Chefs and Head Cooks,44
Marine Engineers and Naval Architects,43
Lodging Managers,43
Writers and Authors,42
Curators,41
SOFTWARE DEVELOPERS,40
"Farmers, Ranchers, and Other Agricultural Managers",40
Acupuncturists,39
"Psychologists, All Other",38
Microsystems Engineers,37
Environmental Economists,37
Commercial Pilots,36
"Criminal Justice and Law Enforcement Teachers, Postsecondary",36
"Nursing Instructors and Teachers, Postsecondary",36
Zoologists and Wildlife Biologists,34
"Directors, Religious Activities and Education",34
"Wholesale and Retail Buyers, Except Farm Products",33
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",33
"Career/Technical Education Teachers, Secondary School",33
"Physical Scientists, All Other",32
Podiatrists,32
Genetic Counselors,30
"Property, Real Estate, and Community Association Managers",30
Chiropractors,29
Loan Officers,29
Farm and Home Management Educators,28
Industrial-Organizational Psychologists,28
Business Continuity Planners,28
Industrial Engineering Technologists and Technicians,27
"Electronics Engineers, Except Computer, R&D",27
Neuropsychologists,26
"Family and Consumer Sciences Teachers, Postsecondary",26
Acute Care Nurses,26
Telecommunications Engineering Specialists,26
Social and Human Service Assistants,26
Administrative Services Managers,25
Security Management Specialists,25
"Mechanical Engineers, NonR&D",25
"Community and Social Service Specialists, All Other",25
Health Information Technologists and Medical Registrars,25
Software Developer,25
Substance Abuse and Behavioral Disorder Counselors,24
Pediatric Surgeons,24
"Education Administrators, All Other",24
